NeighborhoodID,Neighborhood,City,NeighborhoodPopulation,NeighborhoodHouseholds,MedianIncome,PublicTransportPrct,WalkBiketoWorkPrct,UnemploymentPrct,AgeBelow18Prct,Age18To34Prct,Age35To54Prct,Age55To75Prct,AgeAbove75Prct
20,Downtown East,Minneapolis,1925,1041,77019,0.1027,0.4557,0.040999999999999995,0.0938,0.4181,0.2583,0.1875,0.0422
21,Downtown West,Minneapolis,8591,4678,50796,0.1009,0.48969999999999997,0.0558,0.0801,0.4286,0.277,0.1771,0.03730000000000001
22,East Harriet,Minneapolis,3703,1621,81875,0.1094,0.1771,0.0337,0.21120000000000003,0.2666,0.2837,0.1873,0.051199999999999996
23,East Isles,Minneapolis,3576,1846,74540,0.1081,0.2439,0.0305,0.0794,0.3788,0.21550000000000002,0.259,0.0674
24,East Phillips,Minneapolis,4656,1338,39271,0.2107,0.24850000000000003,0.0647,0.37829999999999997,0.235,0.2438,0.11359999999999999,0.0294
25,ECCO,Minneapolis,2138,1250,81875,0.111,0.2162,0,0.0912,0.482,0.2036,0.1865,0.0366
26,Elliot Park,Minneapolis,6680,3572,29083,0.1139,0.3994,0.09880000000000001,0.09029999999999999,0.3922,0.219,0.2081,0.09040000000000001
27,Ericsson,Minneapolis,3512,1531,91549,0.08289999999999999,0.1216,0.031400000000000004,0.202,0.20590000000000003,0.3323,0.2227,0.0373
28,Field,Minneapolis,2670,1048,109096,0.0809,0.13390000000000002,0.0204,0.2298,0.2182,0.30910000000000004,0.2022,0.0406
29,Folwell,Minneapolis,5955,2012,43247,0.20600000000000002,0.0554,0.1257,0.3173,0.2385,0.2631,0.1625,0.0185
30,Thomas-Dale/Frogtown,St Paul,15964,4806,38012,0.1481,0.068,0.0729,0.33110000000000006,0.2797,0.2339,0.13,0.025400000000000002
31,Fulton,Minneapolis,6513,2623,141750,0.0711,0.1514,0.028900000000000002,0.2508,0.1744,0.3049,0.2087,0.0613
32,The Greater East Side,St Paul,31474,9931,54369,0.0611,0.0501,0.0416,0.2967,0.3045,0.23249999999999998,0.13269999999999998,0.033600000000000005
33,Hale,Minneapolis,3340,1297,130313,0.021400000000000002,0.08259999999999999,0.015700000000000002,0.2692,0.1419,0.33440000000000003,0.2167,0.0378
34,Hamline-Midway,St Paul,12505,4512,60069,0.147,0.20149999999999998,0.0383,0.20489999999999997,0.36869999999999997,0.2329,0.171,0.022500000000000003
35,Harrison,Minneapolis,3671,1220,48112,0.168,0.133,0.0060999999999999995,0.28659999999999997,0.3217,0.2274,0.14250000000000002,0.0218
