placeID,placeName,placeType,latitude,longitude
1092,East River Flats Park,park,44.9703514,-93.2350599
1093,Franklin Terrace Off-Leash Dog Park,park,44.96453580000001,-93.22782869999999
1094,Hennepin Square Office M S P Park,park,44.99169,-93.2236381
1095,The Knoll,park,44.97861210000001,-93.23643840000001
1096,Matthew’s DMV,park,44.958293,-93.231444
1101,West Bank Community Garden,park,44.97042390000001,-93.2435228
1105,Murphy Square,park,44.9652534,-93.2401514
1107,Saint Anthony Park,park,44.9936868,-93.2550309
1109,Normanna Triangle,park,44.96082000000001,-93.242778
1110,North Mississippi Regional Park,park,45.0470722,-93.2833769
1111,Victory Park,park,45.03597209999999,-93.3147564
1112,Bellvue Park,park,45.0531862,-93.2900994
1113,Jenny Lind Community Garden,park,45.0472453,-93.29351830000002
1114,Victory Flagpole,park,45.0371063,-93.31941909999999
1115,Humphrey Park,park,45.03830689999999,-93.3321071
1116,BC Little League Thurs Park,park,45.06628200000001,-93.3157252
1117,Carl W. Kroening Interpretive Center,park,45.0433063,-93.2832679
1118,Centennial Park,park,45.0698839,-93.31147109999999
1119,Twin Lake Shores Park,park,45.043752,-93.3428199
1120,Sunset Park,park,45.0262797,-93.32405879999999
1121,Kylawn Park,park,45.0647639,-93.337673
1122,Happy Hollow Park,park,45.047094,-93.3230189
1123,Victory Memorial Parkway,park,45.03642269999999,-93.3193119
1124,Victory Prairie Off-Leash Recreation Area,park,45.0403299,-93.31270819999999
1125,Webber Park,park,45.03510960000001,-93.2929747
1126,Shingle Creek Park,park,45.046622,-93.30537799999999
1127,Olson Jr High Skatepark,park,45.04552169999999,-93.3014121
1128,Creekview Park,park,45.0453349,-93.3008967
1129,Ryan Lake Trail,park,45.04186289999999,-93.3191312
1149,Riverside Park,park,44.9659625,-93.23145439999999
1151,Theodore Wirth Regional Park,park,44.9898452,-93.3268367
1152,Bryn Mawr Meadows Park,park,44.9738249,-93.30220779999999
1153,Temple Israel - Minneapolis,park,44.9595343,-93.29501049999999
1154,Wirth Lake Public Access,park,44.98179770000001,-93.3207018
1158,Bethune Park,park,44.98746729999999,-93.2967587
1159,Harrison Park,park,44.983469,-93.3002114
1161,Parade Park,park,44.97102599999999,-93.293093
1162,Farwell Park,park,44.99029900000001,-93.31269089999999
1164,Cottage Park,park,45.0006803,-93.3024162
1165,Willard Park,park,44.9963448,-93.3098332
1168,Sheridan Memorial Park,park,44.9996936,-93.2736709
1169,Satori Community Garden,park,45.0049377,-93.287511
1175,Hi-View Park,park,45.0309561,-93.2670249
1177,Heron Rookery,park,45.0194229,-93.2758961
1178,Folwell Park,park,45.0235514,-93.3002305
1182,Lind Bohanon Free Garden,park,45.043736,-93.2858388
1183,Bohanon Park,park,45.0451461,-93.29252919999999
1184,George Hill and Alice Rainville Park,park,45.0479443,-93.285489
1187,Shingle Creek Falls in Webber Park,park,45.0329,-93.28888330000001
1189,Camden Triangle Garden,park,45.0314924,-93.2981683
1196,Graeser Park - Historic Wayside Rest,park,45.037006,-93.345029
1198,Manor Park,park,45.0126645,-93.3233749
1202,Welcome Park,park,45.0382267,-93.35067219999999
1207,Tiny Fields at Northern Chocolate Studio,park,45.0353594,-93.3141727
1208,Ryan Lake Park,park,45.0405112,-93.3192478
1224,Perkins Hill Park,park,45.0173555,-93.28364069999999
1226,Swanson Field,park,45.0321648,-93.3022685
1227,Camden Central Pond,park,45.03079630000001,-93.3032453
1229,Mississippi River Park,park,45.0279445,-93.27935869999999
1230,Columbia Park,park,45.0302868,-93.2537985
1232,Bottineau Field Park,park,45.0077425,-93.2667519
1236,Logan Park,park,44.9998465,-93.2537794
1238,St. Anthony Parkway Off-Leash Dog Park,park,45.024443,-93.2575537
1240,Community Commons Park,park,44.9967889,-93.24787640000001
1241,Summer Street Garden,park,44.996813,-93.24779199999999
1244,Audubon Park,park,45.0197792,-93.2403078
1246,Windom Park,park,45.01230570000001,-93.2358635
1248,Northeast Park,park,45.0025209,-93.24182689999999
1270,Minnehaha Regional Park,park,44.9167388,-93.21010659999999
1271,Lake Hiawatha Park,park,44.9231626,-93.2337221
1273,Garden Jems Consulting,park,44.94623720000001,-93.22541430000001
1274,Longfellow Park,park,44.940543,-93.2191915
1275,Community Hops,park,44.934251,-93.2265937
1276,Corcoran Community Garden,park,44.94282559999999,-93.2368375
1277,University of St. Thomas Stewardship Garden,park,44.93834519999999,-93.1961651
1278,Stonebridge Oval,park,44.9328546,-93.195973
1279,Winchell Trail,park,44.9238225,-93.204354
1280,Annie Young Meadow,park,44.9533408,-93.2104548
1281,Sibley Park,park,44.9309979,-93.2444462
1282,Wabun Picnic Area,park,44.9148565,-93.2047077
1283,Nokomis East Gateway Gardens,park,44.91287099999999,-93.2113229
1284,Nokomis Naturescape,park,44.9156473,-93.2365166
1285,Mississippi Gorge Regional Park,park,44.9371211,-93.20370349999999
1286,Minnehaha Parkway,park,44.916242,-93.2255284
1287,Shadow Falls Park,park,44.9426525,-93.19565349999999
1288,Dowling Community Garden,park,44.932501,-93.2073142
1289,ADDC WEBSITE | Contact,park,44.9303839,-93.217509
1290,"Rev. Dr. Martin Luther King, Jr. Park",park,44.9292349,-93.277322
1291,Sonny's Ice Cream Cafe,park,44.9411685,-93.28791369999999
1292,Lake Nokomis Park,park,44.9105922,-93.2463863
1295,McRae Park,park,44.9183948,-93.2611498
